business_id,city,location,business_type,business_description,year_started,years_operating,owner_gender,edu_level,annual_sales_fcfa,monthly_sales_fcfa,annual_costs_fcfa,monthly_profit_fcfa,electricity_problems,water_problems,telecom_problems,finance_obstacle_rating,finance_access,supplier_issues,local_sales_pct,repeat_customer_pct,starting_capital_fcfa,avg_obstacle_severity,reason_No_perceived_benefit,reason_Too_costly,reason_Too_complex,reason_Lack_of_info
CMR2006_93797,Yaounde,Urban,Retail_Trade,Petit Commerce,1998,8,Male,None,,,100000,,Yes,No,Yes,4,No,Yes,80,0.0,0,3.08,,,,
CMR2006_93798,Yaounde,Urban,Retail_Trade,Produits Vehicules,2005,1,Female,None,35000,2917,10000,2083,No,Yes,Yes,4,No,Yes,0,5.0,,2.31,No,,,
CMR2006_93799,Yaounde,Urban,Food_Catering,Restauration,2001,5,Female,None,300000,25000,100000,16667,Yes,Yes,Yes,4,No,Yes,50,60.0,2000,2.69,,,,
CMR2006_93800,Yaounde,Urban,Food_Catering,Services De Bureau,2005,1,Male,None,500000,41667,200000,25000,Yes,Yes,Yes,4,No,Yes,85,30.0,5000,3.67,,,,
CMR2006_93801,Yaounde,Urban,Food_Catering,Service Coordonnerie,1991,15,Male,University,0,0,0,0,Yes,No,No,3,No,No,65,60.0,1500,2.92,,,,
CMR2006_93802,Yaounde,Urban,Manufacturing,Meubles,1998,8,Female,Secondary,45000,3750,300000,-21250,Yes,No,No,5,No,Yes,10,50.0,5000,3.23,,,,
CMR2006_93803,Yaounde,Urban,Manufacturing,Fab Mecanique Genera,2000,6,Male,Secondary,10000,833,100000,-7500,Yes,No,No,1,Yes,Yes,10,55.0,2500,2.15,,,,
CMR2006_93804,Yaounde,Urban,Manufacturing,Alimentaire,2002,4,Female,Primary,25000,2083,20000,417,Yes,No,No,3,No,No,85,50.0,1500,2.15,,,,
CMR2006_93805,Yaounde,Urban,Retail_Trade,Commerce,2000,6,Female,Primary,0,0,0,0,No,No,No,3,No,Yes,90,40.0,,1.92,,,,
CMR2006_93806,Yaounde,Urban,Retail_Trade,Alimentaire,2002,4,Female,None,120000,10000,0,10000,Yes,No,No,3,No,Yes,99,80.0,30000,2.31,,,,
CMR2006_93807,Yaounde,Urban,Food_Catering,Reparation Electro,1997,9,Male,Primary,0,0,0,0,Yes,No,No,4,No,Yes,30,40.0,10000,3.23,Yes,,,
CMR2006_93808,Yaounde,Urban,Food_Catering,Coiffure,1992,14,Female,None,60000,5000,200000,-11667,Yes,No,No,1,Yes,No,75,,10000,2.31,,,,
CMR2006_93809,Yaounde,Urban,Manufacturing,Vetement,2001,5,Male,University,0,0,0,0,Yes,No,No,5,No,Yes,50,80.0,20000,2.62,Yes,,,
CMR2006_93810,Yaounde,Urban,Food_Catering,Prestation Services,2001,5,Female,None,0,0,100000,-8333,Yes,No,No,5,No,Yes,0,80.0,100000,3.38,No,,,
CMR2006_93811,Yaounde,Urban,Retail_Trade,Telephone Accessoirs,2003,3,Female,Technical,72000,6000,250000,-14833,Yes,No,No,1,Yes,Yes,90,60.0,10000,2.69,,,,
CMR2006_93812,Yaounde,Urban,Other,Cosmetique Vetement,2002,4,Female,Technical,,,40000,,Yes,Yes,Yes,4,No,Yes,70,0.0,10000,2.0,,,,
CMR2006_93813,Yaounde,Urban,Food_Catering,Coiffure Mixte,1987,19,Female,None,20000,1667,100000,-6667,Yes,No,No,3,No,Yes,100,50.0,,1.46,,,,
CMR2006_93814,Yaounde,Urban,Food_Catering,Service Telephonique,2000,6,Female,Technical,60000,5000,150000,-7500,Yes,No,Yes,4,No,Yes,92,50.0,2000,2.46,,,,
CMR2006_93815,Yaounde,Urban,Retail_Trade,Alimentaire,2004,2,Female,None,30000,2500,100000,-5833,Yes,No,No,4,No,Yes,100,50.0,,2.38,,,,
CMR2006_93816,Yaounde,Urban,Manufacturing,Pieces En Tole,2003,3,Female,None,200000,16667,0,16667,No,No,No,5,No,Yes,30,0.0,,2.46,,,,
CMR2006_93817,Yaounde,Urban,Manufacturing,Chaussures,2003,3,Female,Other,100000,8333,50000,4167,Yes,No,No,5,No,Yes,50,50.0,100000,2.08,,,,
CMR2006_93818,Yaounde,Urban,Food_Catering,Appels Telephoniques,2004,2,Male,Secondary,100000,8333,250000,-12500,Yes,No,Yes,5,No,Yes,100,50.0,100000,2.92,,,,
CMR2006_93819,Yaounde,Urban,Manufacturing,Meubles,1993,13,Female,None,100000,8333,500000,-33333,Yes,No,No,3,No,Yes,25,50.0,,2.23,,,,
CMR2006_93820,Bofoussam,Semi_urban,Manufacturing,Fab. De Meubles,2002,4,Male,Other,120000,10000,40000,6667,Yes,No,No,5,No,Yes,70,100.0,,3.0,,,,
CMR2006_93821,Douala,Urban,Food_Catering,Transport,2003,3,Male,Primary,36500,3042,0,3042,No,No,No,5,No,No,100,,,1.92,No,,,
CMR2006_93822,Douala,Urban,Manufacturing,Habillement,1989,17,Male,Technical,0,0,0,0,Yes,No,No,1,Yes,No,60,100.0,,2.0,No,,,
CMR2006_93823,Bofoussam,Semi_urban,Food_Catering,Agroindustrie,2002,4,Male,None,130000,10833,50000,6667,Yes,No,No,4,No,Yes,60,100.0,,2.25,No,,,
CMR2006_93824,Bofoussam,Semi_urban,Food_Catering,Photos,2002,4,Male,Primary,0,0,0,0,Yes,No,No,4,No,Yes,20,100.0,,2.15,,,,
